x_value,total_1,total_2
0,1000,1000
1,997,1005
2,996,1005
3,997,1006
4,1005,1012
5,1013,1007
6,1007,1011
7,1014,1012
8,1014,1017
9,1018,1018
10,1023,1019
11,1031,1014
12,1034,1015
13,1042,1016
14,1043,1022
15,1038,1018
16,1033,1024
17,1028,1029
18,1026,1034
19,1020,1038
20,1026,1037
21,1030,1036
22,1027,1034
23,1029,1035
24,1032,1036
25,1031,1036
26,1025,1038
27,1032,1040
28,1027,1041
29,1028,1046
30,1022,1042
31,1020,1038
32,1016,1039
33,1010,1045
34,1005,1048
35,1002,1043
36,1006,1042
37,1005,1037
38,999,1033
39,1007,1038
40,1011,1034
41,1008,1037
42,1012,1038
43,1007,1041
44,1011,1037
45,1010,1035
46,1017,1031
47,1019,1037
48,1023,1034
49,1025,1032
50,1026,1037
51,1033,1038
52,1036,1037
